Service,First Call Resolution,Actual Service,Ticket Description
Password and Identity Management,False,Password and Identity Management,"I've noticed a software bug in the  app. It's causing data loss and unexpected errors. How can I resolve this issue? If you've already solved these problems with your iOS or Mac OSX software, you This problem started occurring after the recent software update. I haven't made any other changes to the device."
Student Journey Systems,False,Student Journey Systems, */
Software Delivery,False,Software Delivery,My  is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this?
Password and Identity Management,False,Password and Identity Management,I've encountered a data loss issue with my . All the files and documents seem to have disappeared. Can you guide me on how to retrieve them?
Service Desk and Customer Support,False,Service Desk and Customer Support," The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly."
Web Services,False,Web Services,"I've accidentally deleted important data from my . Is there any way to recover the deleted files? I need them urgently. Please take care. I'd like to see all of my information with the people that helped me on I've followed the troubleshooting steps mentioned in the user manual, but the issue persists."
Lecture and AV Technologies,False,Lecture and AV Technologies," This is an Error, I guess, especially since there has not been a single successful refund after the last three days."
Email and Calendars,False,Email and Calendars," Your product is valid and there doesn't need to be a valid, expired or different product. Your brand will not be sold for use on a website. You will I've tried using different cables, adapters, or peripherals with my , but the issue persists."
Software Delivery,False,Software Delivery,"I've recently set up my , but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?"
File Storage,True,File Storage,I'm facing issues logging into my  account. It says my account is locked. What should I do to unlock it?
Line of Business Applications,False,Line of Business Applications," Please make sure you use the link when posting. I will try to get this sorted. We're sorry for the inconvenience. Please take a few moments to process this The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly."
